[  128.704,   133.600]; seg_len1 =  4.896; step_len1 =  2.432; [  127.872,   132.832]; seg_len2 =  4.960; step_len2 =  1.216; start_diff =  0.832; step_diff =  1.216; score = 13.2530;   99
[  128.704,   133.600]; seg_len1 =  4.896; step_len1 =  0.000; [  128.736,   133.664]; seg_len2 =  4.928; step_len2 =  0.864; start_diff = -0.032; step_diff = -0.864; score = 21.4286;  153
[  129.152,   134.080]; seg_len1 =  4.928; step_len1 =  0.448; [  130.176,   135.104]; seg_len2 =  4.928; step_len2 =  1.440; start_diff = -1.024; step_diff = -0.992; score = 26.9555;  224
[  130.336,   135.296]; seg_len1 =  4.960; step_len1 =  1.184; [  131.168,   136.032]; seg_len2 =  4.864; step_len2 =  0.992; start_diff = -0.832; step_diff =  0.192; score = 22.6333;  208
[  131.200,   136.000]; seg_len1 =  4.800; step_len1 =  0.864; [  131.552,   136.512]; seg_len2 =  4.960; step_len2 =  0.384; start_diff = -0.352; step_diff =  0.480; score = 21.7391;  215
[  132.128,   137.024]; seg_len1 =  4.896; step_len1 =  0.928; [  132.576,   137.536]; seg_len2 =  4.960; step_len2 =  1.024; start_diff = -0.448; step_diff = -0.096; score = 20.7684;  200
[  133.120,   138.080]; seg_len1 =  4.960; step_len1 =  0.992; [  133.536,   138.432]; seg_len2 =  4.896; step_len2 =  0.960; start_diff = -0.416; step_diff =  0.032; score = 19.7169;  195
[  134.208,   139.168]; seg_len1 =  4.960; step_len1 =  1.088; [  134.528,   139.488]; seg_len2 =  4.960; step_len2 =  0.992; start_diff = -0.320; step_diff =  0.096; score = 21.2056;  197
[  135.168,   140.064]; seg_len1 =  4.896; step_len1 =  0.960; [  135.520,   140.480]; seg_len2 =  4.960; step_len2 =  0.992; start_diff = -0.352; step_diff = -0.032; score = 22.1571;  189
[  136.192,   141.056]; seg_len1 =  4.864; step_len1 =  1.024; [  136.512,   141.440]; seg_len2 =  4.928; step_len2 =  0.992; start_diff = -0.320; step_diff =  0.032; score = 22.5880;  199
