[  120.384,   160.352]; seg_len1 = 39.968; step_len1 =  1.152; [  120.736,   159.520]; seg_len2 = 38.784; step_len2 =  1.088; start_diff = -0.352; step_diff =  0.064; score = 37.1311; 2265
[  121.216,   160.640]; seg_len1 = 39.424; step_len1 =  0.832; [  121.664,   161.536]; seg_len2 = 39.872; step_len2 =  0.928; start_diff = -0.448; step_diff = -0.096; score = 36.9402; 2260
[  122.592,   162.560]; seg_len1 = 39.968; step_len1 =  1.376; [  122.720,   162.496]; seg_len2 = 39.776; step_len2 =  1.056; start_diff = -0.128; step_diff =  0.320; score = 36.9000; 2214
[  123.264,   163.168]; seg_len1 = 39.904; step_len1 =  0.672; [  123.712,   163.104]; seg_len2 = 39.392; step_len2 =  0.992; start_diff = -0.448; step_diff = -0.320; score = 37.5103; 2266
[  124.192,   164.128]; seg_len1 = 39.936; step_len1 =  0.928; [  125.056,   165.024]; seg_len2 = 39.968; step_len2 =  1.344; start_diff = -0.864; step_diff = -0.416; score = 36.7333; 2204
[  125.408,   165.216]; seg_len1 = 39.808; step_len1 =  1.216; [  125.728,   165.632]; seg_len2 = 39.904; step_len2 =  0.672; start_diff = -0.320; step_diff =  0.544; score = 36.4540; 2200
[  126.272,   166.048]; seg_len1 = 39.776; step_len1 =  0.864; [  126.656,   166.560]; seg_len2 = 39.904; step_len2 =  0.928; start_diff = -0.384; step_diff = -0.064; score = 36.7326; 2172
[  128.704,   168.672]; seg_len1 = 39.968; step_len1 =  2.432; [  127.872,   167.584]; seg_len2 = 39.712; step_len2 =  1.216; start_diff =  0.832; step_diff =  1.216; score = 36.4700; 2151
[  128.704,   168.672]; seg_len1 = 39.968; step_len1 =  0.000; [  128.736,   168.704]; seg_len2 = 39.968; step_len2 =  0.864; start_diff = -0.032; step_diff = -0.864; score = 37.1678; 2168
[  129.152,   169.056]; seg_len1 = 39.904; step_len1 =  0.448; [  130.176,   170.144]; seg_len2 = 39.968; step_len2 =  1.440; start_diff = -1.024; step_diff = -0.992; score = 37.5724; 2142
[  130.336,   170.016]; seg_len1 = 39.680; step_len1 =  1.184; [  131.168,   171.136]; seg_len2 = 39.968; step_len2 =  0.992; start_diff = -0.832; step_diff =  0.192; score = 36.1706; 2112
[  131.200,   171.168]; seg_len1 = 39.968; step_len1 =  0.864; [  131.552,   171.520]; seg_len2 = 39.968; step_len2 =  0.384; start_diff = -0.352; step_diff =  0.480; score = 35.8325; 2079
[  132.128,   172.064]; seg_len1 = 39.936; step_len1 =  0.928; [  132.576,   172.512]; seg_len2 = 39.936; step_len2 =  1.024; start_diff = -0.448; step_diff = -0.096; score = 35.8474; 2001
[  133.120,   172.064]; seg_len1 = 38.944; step_len1 =  0.992; [  133.536,   173.504]; seg_len2 = 39.968; step_len2 =  0.960; start_diff = -0.416; step_diff =  0.032; score = 35.3524; 1961
[  134.208,   174.112]; seg_len1 = 39.904; step_len1 =  1.088; [  134.528,   174.464]; seg_len2 = 39.936; step_len2 =  0.992; start_diff = -0.320; step_diff =  0.096; score = 35.5717; 1960
[  135.168,   174.752]; seg_len1 = 39.584; step_len1 =  0.960; [  135.520,   174.464]; seg_len2 = 38.944; step_len2 =  0.992; start_diff = -0.352; step_diff = -0.032; score = 35.7983; 1888
