[  124.192,   139.136]; seg_len1 = 14.944; step_len1 =  0.928; [  125.056,   139.904]; seg_len2 = 14.848; step_len2 =  1.344; start_diff = -0.864; step_diff = -0.416; score = 31.6176;  774
[  125.408,   140.352]; seg_len1 = 14.944; step_len1 =  1.216; [  125.728,   140.576]; seg_len2 = 14.848; step_len2 =  0.672; start_diff = -0.320; step_diff =  0.544; score = 30.5004;  768
[  126.272,   141.056]; seg_len1 = 14.784; step_len1 =  0.864; [  126.656,   141.600]; seg_len2 = 14.944; step_len2 =  0.928; start_diff = -0.384; step_diff = -0.064; score = 30.5242;  757
[  128.704,   142.496]; seg_len1 = 13.792; step_len1 =  2.432; [  127.872,   142.816]; seg_len2 = 14.944; step_len2 =  1.216; start_diff =  0.832; step_diff =  1.216; score = 29.8701;  759
[  128.704,   142.496]; seg_len1 = 13.792; step_len1 =  0.000; [  128.736,   143.520]; seg_len2 = 14.784; step_len2 =  0.864; start_diff = -0.032; step_diff = -0.864; score = 32.8346;  812
[  129.152,   144.000]; seg_len1 = 14.848; step_len1 =  0.448; [  130.176,   144.928]; seg_len2 = 14.752; step_len2 =  1.440; start_diff = -1.024; step_diff = -0.992; score = 35.0207;  844
[  130.336,   145.184]; seg_len1 = 14.848; step_len1 =  1.184; [  131.168,   144.928]; seg_len2 = 13.760; step_len2 =  0.992; start_diff = -0.832; step_diff =  0.192; score = 32.7500;  786
[  131.200,   145.856]; seg_len1 = 14.656; step_len1 =  0.864; [  131.552,   146.432]; seg_len2 = 14.880; step_len2 =  0.384; start_diff = -0.352; step_diff =  0.480; score = 32.7133;  809
[  132.128,   146.720]; seg_len1 = 14.592; step_len1 =  0.928; [  132.576,   147.264]; seg_len2 = 14.688; step_len2 =  1.024; start_diff = -0.448; step_diff = -0.096; score = 33.5079;  768
[  133.120,   147.648]; seg_len1 = 14.528; step_len1 =  0.992; [  133.536,   148.320]; seg_len2 = 14.784; step_len2 =  0.960; start_diff = -0.416; step_diff =  0.032; score = 32.3988;  728
[  134.208,   149.088]; seg_len1 = 14.880; step_len1 =  1.088; [  134.528,   149.184]; seg_len2 = 14.656; step_len2 =  0.992; start_diff = -0.320; step_diff =  0.096; score = 32.5874;  699
[  135.168,   149.984]; seg_len1 = 14.816; step_len1 =  0.960; [  135.520,   150.112]; seg_len2 = 14.592; step_len2 =  0.992; start_diff = -0.352; step_diff = -0.032; score = 34.5331;  710
[  136.192,   151.104]; seg_len1 = 14.912; step_len1 =  1.024; [  136.512,   151.456]; seg_len2 = 14.944; step_len2 =  0.992; start_diff = -0.320; step_diff =  0.032; score = 35.8142;  717
